transaction_id,transaction_id,transaction_date,transaction_date_clean,merchant_name,merchant_name_clean,raw_amount,currency,status,status_clean,risk_score,risk_score_clean,gateway_region,gateway_region_clean,user_id,payment_method,payment_method_clean,amount_usd,merchant_id,account_manager,merchant_category,default_region,high_value_flag,high_risk_flag
T015,T015,04-03-2026,03-04-2026,Alpha Mart,ALPHA MART,130000,INR,captured,CAPTURED,score:52,52,,,U002,Card,CARD,1547,M001,Aisha Khan,Grocery,APAC,0,0
T016,T016,05-03-2026,03-05-2026,Beta  Stores,BETA STORES,220000,INR,failed E05 timeout,FAILED,risk-69,69,,,U008,Card,CARD,2618,M002,Rohan Mehta,Electronics,APAC,0,0
T017,T017,05-03-2026,03-05-2026,Beta  Stores,BETA STORES,180000,INR,Failed E05 Timeout,FAILED,score:72,72,apac,APAC,U008,Card,CARD,2142,M002,Rohan Mehta,Electronics,APAC,0,1
T018,T018,05-03-2026,03-05-2026,BETA STORES,BETA STORES,145000,INR,chargeback,CHARGEBACK,risk-86,86,APAC,APAC,U008,UPI,UPI,1725.5,M002,Rohan Mehta,Electronics,APAC,0,1
T019,T019,05-03-2026,03-05-2026,Alpha  Mart,ALPHA MART,260000,INR,Failed E05 Timeout,FAILED,score:67,67,apac,APAC,U008,Wallet,WALLET,3094,M001,Aisha Khan,Grocery,APAC,0,0
T020,T020,05-03-2026,03-05-2026,Alpha Mart,ALPHA MART,520000,INR,Captured,CAPTURED,75,0,APAC,APAC,U005,UPI,UPI,6188,M001,Aisha Khan,Grocery,APAC,1,0
T021,T021,06-03-2026,03-06-2026,beta stores,BETA STORES,330000,INR,captured,CAPTURED,score:63,63,,,U006,Card,CARD,3927,M002,Rohan Mehta,Electronics,APAC,0,0
T022,T022,06-03-2026,03-06-2026,ALPHA MART,ALPHA MART,410000,INR,captured,CAPTURED,60,0,APAC,APAC,U007,UPI,UPI,4879,M001,Aisha Khan,Grocery,APAC,0,0
T023,T023,01-03-2026,03-01-2026,City Pharma,CITY PHARMA,5200,EUR,Captured,CAPTURED,42,0,EU,EU,U003,Card,CARD,5616,M003,Elena Rossi,Healthcare,EU,0,0
T024,T024,02-03-2026,03-02-2026,Eco Home,ECO HOME,6100,EUR,chargeback,CHARGEBACK,score:65,65,EU,EU,U004,Card,CARD,6588,M005,Nina Weber,Home,EU,1,1
T025,T025,03-03-2026,03-03-2026,City Pharma,CITY PHARMA,2800,EUR,captured,CAPTURED,38,0,eu,EU,U005,Wallet,WALLET,3024,M003,Elena Rossi,Healthcare,EU,0,0
T026,T026,05-03-2026,03-05-2026,Eco Home,ECO HOME,3300,EUR,Failed E05 Timeout,FAILED,44,0,EU,EU,U006,NetBanking,NETBANKING,3564,M005,Nina Weber,Home,EU,0,0
T027,T027,01-03-2026,03-01-2026,DELTA TRAVELS,DELTA TRAVELS,7200,USD,captured,CAPTURED,49,0,us,US,U007,Card,CARD,7200,M004,Marcus Lee,Travel,US,1,0
T028,T028,02-03-2026,03-02-2026,Delta Travels,DELTA TRAVELS,3100,USD,CAPTURED,CAPTURED,risk-41,41,US,US,U008,Card,CARD,3100,M004,Marcus Lee,Travel,US,0,0
T029,T029,04-03-2026,03-04-2026,delta travels,DELTA TRAVELS,2500,USD,chargeback,CHARGEBACK,score:58,58,US,US,U009,Wallet,WALLET,2500,M004,Marcus Lee,Travel,US,0,1
T030,T030,06-03-2026,03-06-2026,DELTA TRAVELS,DELTA TRAVELS,1800,USD,Failed E05 Timeout,FAILED,score:47,47,US,US,U010,UPI,UPI,1800,M004,Marcus Lee,Travel,US,0,0
,,,,,,,,,,,,,,,,,,,,,,,
I DID EVERYTHING HERE ITSELF IT HAS BOTH RAW AND CLEAN DATA TOGETHER,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
